"rank","finalWorth","category","personName","age","country","city","source","industries","countryOfCitizenship","organization","selfMade","status","gender","birthDate","lastName","firstName","title","date","state","residenceStateRegion","birthYear","birthMonth","birthDay","cpi_country","cpi_change_country","gdp_country","gross_tertiary_education_enrollment","gross_primary_education_enrollment_country","life_expectancy_country","tax_revenue_country_country","total_tax_rate_country","population_country","latitude_country","longitude_country"
2540,1000,"Fashion & Retail","Johan Johannson",56,"Norway","Oslo","Grocery stores","Fashion & Retail","Norway",NA,FALSE,"D","M","1/1/1967 0:00","Johannson","Johan",NA,"4/4/2023 5:01",NA,NA,1967,1,1,120.27,2.2,"$403,336,363,636",82,100.3,82.8,23.9,36.2,5347896,60.472024,8.468946
2405,1100,"Technology","Tony Chen",73,"Taiwan","Taichung","Electronics","Technology","Taiwan",NA,TRUE,"U","M","7/1/1949 0:00","Chen","Tony",NA,"4/4/2023 5:01",NA,NA,1949,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
425,6000,"Finance & Investments","Joe Lewis",86,"Bahamas","Albany","Investments","Finance & Investments","United Kingdom",NA,TRUE,"U","M","2/5/1937 0:00","Lewis","Joe",NA,"4/4/2023 5:01",NA,NA,1937,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
511,5200,"Technology","Barry Lam",73,"Taiwan","Taipei","Electronics","Technology","Taiwan",NA,TRUE,"D","M","4/24/1949 0:00","Lam","Barry",NA,"4/4/2023 5:01",NA,NA,1949,4,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2540,1000,"Finance & Investments","Christian Angermayer",44,"United Kingdom","London","Investments","Finance & Investments","Germany",NA,TRUE,"D","M","4/26/1978 0:00","Angermayer","Christian",NA,"4/4/2023 5:01",NA,NA,1978,4,26,119.62,1.7,"$2,827,113,184,696",60,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973
2259,1200,"Technology","Tope Awotona",41,"United States","Atlanta","Software","Technology","United States","Calendly",TRUE,"D","M","4/22/1981 0:00","Awotona","Tope",NA,"4/4/2023 5:01","Georgia","South",1981,4,22,117.24,7.5,"$21,427,700,000,000",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
2405,1100,"Service","Fumio Kaneko",66,"Japan","Kobe","Waste management","Service","Japan",NA,TRUE,"N","M","10/17/1956 0:00","Kaneko","Fumio",NA,"4/4/2023 5:01",NA,NA,1956,10,17,105.48,0.5,"$5,081,769,542,380",63.2,98.8,84.2,11.9,46.7,126226568,36.204824,138.252924
2133,1300,"Finance & Investments","Conni Jonsson",62,"Sweden","Stockholm","Asset management","Finance & Investments","Sweden",NA,TRUE,"D","M","7/15/1960 0:00","Jonsson","Conni",NA,"4/4/2023 5:01",NA,NA,1960,7,15,110.51,1.8,"$530,832,908,738",67,126.6,82.5,27.9,49.1,10285453,60.128161,18.643501
1217,2500,"Food & Beverage","Andrew Cherng",75,"United States","Las Vegas","Fast food","Food & Beverage","United States",NA,TRUE,"Split Family Fortune","M","4/2/1948 0:00","Cherng","Andrew",NA,"4/4/2023 5:01","Nevada","West",1948,4,2,117.24,7.5,"$21,427,700,000,000",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
2020,1400,"Media & Entertainment","Gary Magness",69,"United States","Denver","Cable TV, investments","Media & Entertainment","United States",NA,FALSE,"E","M","2/26/1954 0:00","Magness","Gary",NA,"4/4/2023 5:01","Colorado","West",1954,2,26,117.24,7.5,"$21,427,700,000,000",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
905,3200,"Manufacturing","Zhou Bajin",87,"China","Changzhou","Auto parts","Manufacturing","China",NA,TRUE,"D","M","5/1/1935 0:00","Zhou","Bajin",NA,"4/4/2023 5:01",NA,NA,1935,5,1,125.08,2.9,"$19,910,000,000,000",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
171,10200,"Energy","Jeffery Hildebrand",64,"United States","Houston","Oil","Energy","United States",NA,TRUE,"U","M","3/5/1959 0:00","Hildebrand","Jeffery",NA,"4/4/2023 5:01","Texas","South",1959,3,5,117.24,7.5,"$21,427,700,000,000",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
721,3900,"Food & Beverage","James Cargill, II.",73,"United States","Birchwood","Cargill","Food & Beverage","United States",NA,FALSE,"D","M","4/7/1949 0:00","Cargill","James",NA,"4/4/2023 5:01","Wisconsin","Midwest",1949,4,7,117.24,7.5,"$21,427,700,000,000",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
1516,2000,"Fashion & Retail","Ales Zavoral",46,NA,NA,"E-commerce","Fashion & Retail","Czech Republic",NA,TRUE,"N","M","10/24/1976 0:00","Zavoral","Ales",NA,"4/4/2023 5:01",NA,NA,1976,10,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1067,2800,"Technology","Garrett Camp",44,"United States","San Francisco","Uber","Technology","Canada","Uber Technologies Inc.",TRUE,"E","M","10/4/1978 0:00","Camp","Garrett","Cofounder and Chairman","4/4/2023 5:01","California","West",1978,10,4,117.24,7.5,"$21,427,700,000,000",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
766,3700,"Logistics","Brad Jacobs",66,"United States","Greenwich","Logistics","Logistics","United States",NA,TRUE,"E","M","7/1/1956 0:00","Jacobs","Brad",NA,"4/4/2023 5:01","Connecticut","Northeast",1956,7,1,117.24,7.5,"$21,427,700,000,000",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
2020,1400,"Real Estate","Kwee Liong Tek",76,"Singapore","Singapore","Real estate","Real Estate","Singapore",NA,FALSE,"Split Family Fortune","M","1/1/1947 0:00","Kwee","Liong Tek",NA,"4/4/2023 5:01",NA,NA,1947,1,1,114.41,0.6,"$372,062,527,489",84.8,100.6,83.1,13.1,21,5703569,1.352083,103.819836
1647,1800,"Technology","Robert G. Miller",77,"Canada","Montreal","Electronics components","Technology","Canada","Future Electronics",TRUE,"E","M","7/3/1945 0:00","Miller","Robert G.","Founder","4/4/2023 5:01",NA,NA,1945,7,3,116.76,1.9,"$1,736,425,629,520",68.9,100.9,81.9,12.8,24.5,36991981,56.130366,-106.346771
299,7500,"Fashion & Retail","Ding Shijia",59,"China","Quanzhou","Sports apparel","Fashion & Retail","China",NA,TRUE,"D","M","1/1/1964 0:00","Ding","Shijia",NA,"4/4/2023 5:01",NA,NA,1964,1,1,125.08,2.9,"$19,910,000,000,000",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
2259,1200,"Manufacturing","Xia Xinde",58,"China","Guangzhou","Batteries","Manufacturing","China",NA,TRUE,"U","M","10/15/1964 0:00","Xia","Xinde",NA,"4/4/2023 5:01",NA,NA,1964,10,15,125.08,2.9,"$19,910,000,000,000",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
748,3800,"Finance & Investments","Stephen Feinberg",63,"United States","New York","Private equity","Finance & Investments","United States","Cerberus Capital Management",TRUE,"U","M","3/29/1960 0:00","Feinberg","Stephen","Co-founder and CEO","4/4/2023 5:01","New York","Northeast",1960,3,29,117.24,7.5,"$21,427,700,000,000",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
2020,1400,"Energy","Airat Shaimiev",61,"Russia","Kazan","Refinery, chemicals","Energy","Russia",NA,TRUE,"U","M","3/7/1962 0:00","Shaimiev","Airat",NA,"4/4/2023 5:01",NA,NA,1962,3,7,180.75,4.5,"$1,699,876,578,871",81.9,102.6,72.7,11.4,46.2,144373535,61.52401,105.318756
1905,1500,"Finance & Investments","Kenneth Hao",54,"United States","Hillsborough","Private equity","Finance & Investments","United States",NA,TRUE,"E","M","9/11/1968 0:00","Hao","Kenneth",NA,"4/4/2023 5:01","California","West",1968,9,11,117.24,7.5,"$21,427,700,000,000",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
905,3200,"Finance & Investments","Hamilton James & family",71,"United States","New York","Investments","Finance & Investments","United States",NA,TRUE,"U","M","8/3/1951 0:00","James","Hamilton",NA,"4/4/2023 5:01","New York","Northeast",1951,8,3,117.24,7.5,"$21,427,700,000,000",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
2133,1300,"Real Estate","George Marcus",81,"United States","Los Altos Hills","Real estate","Real Estate","United States",NA,TRUE,"D","M","8/15/1941 0:00","Marcus","George",NA,"4/4/2023 5:01","California","West",1941,8,15,117.24,7.5,"$21,427,700,000,000",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
1804,1600,"Finance & Investments","Liora Ofer",69,"Israel","Tel Aviv","Investments","Finance & Investments","Israel",NA,FALSE,"D","F","12/22/1953 0:00","Ofer","Liora",NA,"4/4/2023 5:01",NA,NA,1953,12,22,108.15,0.8,"$395,098,666,122",63.4,104.9,82.8,23.1,25.3,9053300,31.046051,34.851612
523,5100,"Media & Entertainment","Kwon Hyuk-bin",49,"South Korea","Seoul","Online games","Media & Entertainment","South Korea","Smilegate Holdings",TRUE,"D","M","1/1/1974 0:00","Kwon","Hyuk-bin",NA,"4/4/2023 5:01",NA,NA,1974,1,1,115.16,0.4,"$2,029,000,000,000",94.3,98.1,82.6,15.6,33.2,51709098,35.907757,127.766922
2405,1100,"Healthcare","Xu Jiangnan",61,"China","Leping","Vitamins","Healthcare","China",NA,TRUE,"N","M","1/1/1962 0:00","Xu","Jiangnan",NA,"4/4/2023 5:01",NA,NA,1962,1,1,125.08,2.9,"$19,910,000,000,000",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
466,5500,"Healthcare","Sergio Stevanato & family",80,"Italy","Venice","Medical packaging","Healthcare","Italy",NA,TRUE,"U","M","3/20/1943 0:00","Stevanato","Sergio",NA,"4/4/2023 5:01",NA,NA,1943,3,20,110.62,0.6,"$2,001,244,392,042",61.9,101.9,82.9,24.3,59.1,60297396,41.87194,12.56738
2259,1200,"Manufacturing","Mao Zhongwu",60,"China","Changsha","Manufacturing","Manufacturing","China",NA,TRUE,"D","M","8/13/1962 0:00","Mao","Zhongwu",NA,"4/4/2023 5:01",NA,NA,1962,8,13,125.08,2.9,"$19,910,000,000,000",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
1804,1600,"Manufacturing","Francisco Jose Riberas Mera",58,"Spain","Madrid","Steel, autoparts","Manufacturing","Spain",NA,FALSE,"U","M","6/1/1964 0:00","Riberas Mera","Francisco Jose",NA,"4/4/2023 5:01",NA,NA,1964,6,1,110.96,0.7,"$1,394,116,310,769",88.9,102.7,83.3,14.2,47,47076781,40.463667,-3.74922
1164,2600,"Construction & Engineering","Stefan Wirtgen",52,NA,NA,"Construction Vehicles","Construction & Engineering","Germany",NA,FALSE,"N","M","7/1/1970 0:00","Wirtgen","Stefan",NA,"4/4/2023 5:01",NA,NA,1970,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2259,1200,"Healthcare","Bernhard Braun-Luedicke",46,"Germany","Melsungen","Medical technology","Healthcare","Germany",NA,FALSE,"D","M","1/1/1977 0:00","Braun-Luedicke","Bernhard",NA,"4/4/2023 5:01",NA,NA,1977,1,1,112.85,1.4,"$3,845,630,030,824",70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526
332,7000,"Technology","Marc Benioff",58,"United States","San Francisco","Business software","Technology","United States","Salesforce.com",TRUE,"D","M","9/25/1964 0:00","Benioff","Marc","Chairman and CEO","4/4/2023 5:01","California","West",1964,9,25,117.24,7.5,"$21,427,700,000,000",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
1575,1900,"Manufacturing","Surjit Kumar Gupta",81,"India","Delhi","Electrical equipment","Manufacturing","India",NA,FALSE,"U","M","1/13/1942 0:00","Gupta","Surjit Kumar",NA,"4/4/2023 5:01",NA,NA,1942,1,13,180.44,7.7,"$2,611,000,000,000",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
1434,2100,"Diversified","Douglas Hsu",80,"Taiwan","Taipei","Diversified","Diversified","Taiwan",NA,FALSE,"D","M","8/24/1942 0:00","Hsu","Douglas",NA,"4/4/2023 5:01",NA,NA,1942,8,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
437,5900,"Food & Beverage","Tsai Eng-meng",66,"China","Shanghai","Food, beverages","Food & Beverage","Taiwan",NA,FALSE,"D","M","1/15/1957 0:00","Tsai","Eng-meng",NA,"4/4/2023 5:01",NA,NA,1957,1,15,125.08,2.9,"$19,910,000,000,000",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
1272,2400,"Food & Beverage","Pan Laican",NA,"China","foshan","Soy sauce","Food & Beverage","China",NA,TRUE,"D","M",NA,"Pan","Laican",NA,"4/4/2023 5:01",NA,NA,NA,NA,NA,125.08,2.9,"$19,910,000,000,000",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
1272,2400,"Finance & Investments","Matthias Reinhart",63,"Switzerland","Zurich","Financial services","Finance & Investments","Switzerland",NA,TRUE,"D","M","1/1/1960 0:00","Reinhart","Matthias",NA,"4/4/2023 5:01",NA,NA,1960,1,1,99.55,0.4,"$703,082,435,360",59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512
1905,1500,"Diversified","Sandor Csanyi",70,"Hungary","Budapest","Finance, real estate","Diversified","Hungary",NA,TRUE,"U","M","3/20/1953 0:00","Csanyi","Sandor",NA,"4/4/2023 5:01",NA,NA,1953,3,20,121.64,3.3,"$160,967,157,504",48.5,100.8,75.8,23,37.9,9769949,47.162494,19.503304
2020,1400,"Automotive","He Xiaopeng",45,"China","Guangzhou","Electric vehicles","Automotive","China",NA,TRUE,"D","M","11/3/1977 0:00","He","Xiaopeng",NA,"4/4/2023 5:01",NA,NA,1977,11,3,125.08,2.9,"$19,910,000,000,000",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
1516,2000,"Manufacturing","Cunhui Nan",59,"China","Wenzhou","Power equipment","Manufacturing","China",NA,TRUE,"D","M","7/9/1963 0:00","Nan","Cunhui",NA,"4/4/2023 5:01",NA,NA,1963,7,9,125.08,2.9,"$19,910,000,000,000",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
721,3900,"Fashion & Retail","Alfred Oetker",56,"Germany","Bielefeld","Consumer goods","Fashion & Retail","Germany",NA,FALSE,"U","M","1/1/1967 0:00","Oetker","Alfred",NA,"4/4/2023 5:01",NA,NA,1967,1,1,112.85,1.4,"$3,845,630,030,824",70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526
787,3600,"Real Estate","Bob Gaglardi",82,"Canada","Vancouver","Hotels","Real Estate","Canada",NA,TRUE,"U","M","2/19/1941 0:00","Gaglardi","Bob",NA,"4/4/2023 5:01",NA,NA,1941,2,19,116.76,1.9,"$1,736,425,629,520",68.9,100.9,81.9,12.8,24.5,36991981,56.130366,-106.346771
